sample_id,human_label,human_confidence,human_notes,annotator_a_label,annotator_b_label,source_file,source_line,summary
DV001,target_miscoordination,2,Annotators agreed.,target_miscoordination,target_miscoordination,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:43:33.810742/failure_records.jsonl,608,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 16, 'north': 27, 'west': 29, 'noop': 25, 'east': 3, 'south': 2} | Load action counts by agent: [12, 4] | Mean absolute state change: 0.030000 | State variation: 1.758950"
DV012,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,1703,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 109, 'north': 1, 'east': 41, 'noop': 2} | Load action counts by agent: [39, 34, 36] | Mean absolute state change: 0.012222 | State variation: 2.787503"
DV013,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:35:01.919796/failure_records.jsonl,1547,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 6, 'south': 16, 'load': 75, 'east': 3, 'north': 1, 'noop': 1} | Load action counts by agent: [36, 39] | Mean absolute state change: 0.031667 | State variation: 1.925785"
DV014,inefficient_exploration,3,Annotators agreed.,inefficient_exploration,inefficient_exploration,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:43:33.810742/failure_records.jsonl,409,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 11, 'load': 10, 'west': 35, 'north': 34, 'south': 7, 'east': 5} | Load action counts by agent: [4, 6] | Mean absolute state change: 0.046667 | State variation: 1.427574"
DV015,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,1828,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 13, 'north': 16, 'load': 93, 'south': 20, 'east': 10, 'noop': 1} | Load action counts by agent: [30, 32, 31] | Mean absolute state change: 0.057778 | State variation: 2.305330"
DV016,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:36:16.483022/failure_records.jsonl,1083,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 16, 'west': 12, 'noop': 14, 'north': 3, 'south': 30, 'load': 78} | Load action counts by agent: [21, 29, 28] | Mean absolute state change: 0.052222 | State variation: 2.838551"
DV017,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:51:31.574638/failure_records.jsonl,1052,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 80, 'east': 28, 'south': 27, 'north': 10, 'west': 7, 'noop': 1} | Load action counts by agent: [24, 27, 29] | Mean absolute state change: 0.055556 | State variation: 2.872153"
DV018,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:41:00.045290/failure_records.jsonl,221,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 31, 'south': 4, 'noop': 10, 'west': 40, 'load': 14, 'east': 3} | Load action counts by agent: [8, 6] | Mean absolute state change: 0.041667 | State variation: 1.611674"
DV019,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:33:22.883493/failure_records.jsonl,66,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 6, 'noop': 5, 'south': 35, 'east': 36, 'load': 15, 'north': 5} | Load action counts by agent: [8, 7] | Mean absolute state change: 0.056667 | State variation: 2.162179"
DV020,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:10:28.522825/failure_records.jsonl,296,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 33, 'south': 50, 'load': 13, 'west': 4, 'noop': 2} | Load action counts by agent: [5, 8] | Mean absolute state change: 0.035000 | State variation: 2.123154"
DV021,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:16:43.925328/failure_records.jsonl,1766,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 70, 'east': 18, 'west': 9, 'north': 27, 'south': 29} | Load action counts by agent: [30, 20, 20] | Mean absolute state change: 0.085556 | State variation: 1.942166"
DV022,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,405,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 58, 'south': 28, 'north': 33, 'east': 21, 'west': 11, 'noop': 2} | Load action counts by agent: [17, 18, 23] | Mean absolute state change: 0.094444 | State variation: 2.635867"
DV023,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:36:16.483022/failure_records.jsonl,555,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 2, 'south': 30, 'load': 114, 'north': 2, 'west': 5} | Load action counts by agent: [34, 35, 45] | Mean absolute state change: 0.031111 | State variation: 2.567455"
DV024,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-02 09:05:43.895191/failure_records.jsonl,263,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 57, 'east': 16, 'west': 7, 'load': 61, 'north': 5, 'noop': 7} | Load action counts by agent: [21, 25, 15] | Mean absolute state change: 0.048889 | State variation: 2.760979"
DV025,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:49:48.797912/failure_records.jsonl,1803,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 31, 'load': 61, 'noop': 4, 'north': 2, 'south': 3, 'west': 1} | Load action counts by agent: [26, 35] | Mean absolute state change: 0.015000 | State variation: 2.194115"
DV026,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,1979,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 111, 'noop': 9, 'east': 2, 'north': 11, 'south': 10, 'west': 10} | Load action counts by agent: [39, 37, 35] | Mean absolute state change: 0.033333 | State variation: 2.331708"
DV027,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,1100,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 44, 'south': 95, 'east': 8, 'north': 2, 'west': 4} | Load action counts by agent: [12, 17, 15] | Mean absolute state change: 0.026667 | State variation: 2.583601"
DV028,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:27:39.875255/failure_records.jsonl,1713,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 9, 'load': 104, 'east': 9, 'north': 17, 'south': 14} | Load action counts by agent: [32, 38, 34] | Mean absolute state change: 0.050000 | State variation: 2.212088"
DV029,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:27:39.875255/failure_records.jsonl,597,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 92, 'south': 36, 'west': 6, 'east': 3, 'north': 14, 'noop': 2} | Load action counts by agent: [30, 29, 33] | Mean absolute state change: 0.054444 | State variation: 2.725429"
DV030,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 14:07:24.631834/failure_records.jsonl,1406,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'west': 10, 'north': 7, 'load': 83, 'noop': 1, 'east': 1} | Load action counts by agent: [45, 38] | Mean absolute state change: 0.018333 | State variation: 1.652652"
DV031,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 13:35:01.919796/failure_records.jsonl,1901,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 81, 'south': 5, 'west': 6, 'east': 9, 'noop': 1} | Load action counts by agent: [38, 43] | Mean absolute state change: 0.028333 | State variation: 1.897280"
DV032,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:36:16.483022/failure_records.jsonl,1448,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 76, 'east': 10, 'north': 35, 'west': 11, 'south': 20, 'noop': 1} | Load action counts by agent: [22, 22, 32] | Mean absolute state change: 0.076667 | State variation: 2.550543"
DV033,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,83,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 25, 'east': 22, 'south': 18, 'load': 42, 'west': 26, 'north': 20} | Load action counts by agent: [15, 16, 11] | Mean absolute state change: 0.085556 | State variation: 2.234205"
DV034,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:20:05.415445/failure_records.jsonl,449,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 25, 'noop': 10, 'load': 77, 'north': 25, 'south': 13, 'west': 3} | Load action counts by agent: [30, 21, 26] | Mean absolute state change: 0.052222 | State variation: 2.898447"
DV035,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:42:46.689266/failure_records.jsonl,673,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 64, 'load': 64, 'south': 15, 'west': 7, 'north': 3} | Load action counts by agent: [23, 17, 24] | Mean absolute state change: 0.048889 | State variation: 2.777899"
DV036,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed2_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 08:10:40.975439/failure_records.jsonl,1428,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 123, 'east': 16, 'north': 9, 'south': 4, 'west': 1} | Load action counts by agent: [43, 41, 39] | Mean absolute state change: 0.016667 | State variation: 2.666114"
DV037,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-10x10-3p-3f-v3_2026-07-01 07:45:17.277654/failure_records.jsonl,500,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 4, 'load': 38, 'south': 99, 'west': 2, 'east': 9, 'noop': 1} | Load action counts by agent: [12, 14, 12] | Mean absolute state change: 0.032222 | State variation: 2.530214"
DV038,low_value_overcommitment,2,Annotators agreed.,low_value_overcommitment,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:35:20.815998/failure_records.jsonl,1134,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 26, 'load': 97, 'north': 20, 'west': 6, 'south': 4} | Load action counts by agent: [30, 32, 35] | Mean absolute state change: 0.047778 | State variation: 2.724873"
DV039,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed3_lbforaging:Foraging-10x10-3p-3f-v3_2026-06-30 14:35:20.815998/failure_records.jsonl,84,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 3, 'load': 78, 'north': 15, 'west': 33, 'south': 19, 'east': 5} | Load action counts by agent: [27, 33, 18] | Mean absolute state change: 0.066667 | State variation: 2.613070"
DV040,inefficient_exploration,3,Annotators agreed.,inefficient_exploration,inefficient_exploration,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:09:46.219409/failure_records.jsonl,96,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 51, 'east': 31, 'load': 6, 'noop': 9, 'north': 4, 'west': 1} | Load action counts by agent: [3, 3] | Mean absolute state change: 0.028333 | State variation: 2.097166"
DV041,inefficient_exploration,3,Annotators agreed.,inefficient_exploration,inefficient_exploration,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:26:02.103499/failure_records.jsonl,89,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 41, 'west': 8, 'noop': 6, 'east': 35, 'load': 9, 'north': 3} | Load action counts by agent: [4, 5] | Mean absolute state change: 0.066667 | State variation: 2.309794"
DV042,inefficient_exploration,3,Adjudicated to annotator A on semantic ambiguity.,inefficient_exploration,low_value_overcommitment,epymarl/results/llm_fd/mappo_llm_fd_seed1_lbforaging:Foraging-8x8-2p-2f-coop-v3_2026-06-30 12:10:28.522825/failure_records.jsonl,374,"Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 52, 'east': 29, 'load': 16, 'noop': 4, 'west': 1} | Load action counts by agent: [9, 7] | Mean absolute state change: 0.033333 | State variation: 2.215098"
